name,reaction,lenS,lenU,lendiff,io,na,oa,op,pa,qw,qy,su,label
1902F2001_045,749.0,16.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_046,680.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2001_047,747.0,28.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2
1902F2001_048,393.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
1902F2001_049,524.0,20.0,104.0,-84.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2
1902F2001_050,3947.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2
1902F2001_051,2740.0,21.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2001_052,1570.0,24.0,71.0,-47.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2001_053,5374.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8
1902F2001_054,1051.0,29.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8
1902F2001_055,1953.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_056,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_057,6000.0,25.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_058,1894.0,38.0,8.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2001_059,201.0,33.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F2001_060,540.0,15.0,19.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8
1902F2001_061,15361.0,22.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.6
1902F2001_062,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_063,282.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.6
1902F2001_064,6000.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.4
1902F2001_065,3027.0,18.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.4
1902F2001_066,5481.0,18.0,44.0,-26.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6
1902F2001_067,6000.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8
1902F2001_068,2530.0,91.0,7.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8
1902F2001_069,1510.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_070,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_071,488.0,42.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.8
1902F2001_072,1777.0,30.0,45.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2001_073,1327.0,25.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_074,165.0,22.0,25.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2001_075,6000.0,17.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2001_076,4714.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6
1902F2001_077,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_078,3712.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2
1902F2001_079,6446.0,21.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6
1902F2001_080,6000.0,17.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_081,788.0,26.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1902F2001_082,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_083,6000.0,25.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_084,4231.0,29.0,11.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2001_085,598.0,18.0,39.0,-21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2001_086,6000.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2
1902F2001_087,2190.0,15.0,59.0,-44.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
1902F2001_088,3187.0,17.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_089,2064.0,40.0,45.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2001_090,6000.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4
1902F2001_091,4221.0,19.0,46.0,-27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.6
1902F2001_092,6000.0,12.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_093,6000.0,25.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_094,6000.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2001_095,3007.0,17.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F2001_096,6125.0,20.0,40.0,-20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
1902F2001_097,6000.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.4
1902F2001_098,41.0,32.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2
1902F2001_099,1375.0,24.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8
1902F2001_100,210.0,18.0,57.0,-39.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8
1902F2001_101,6000.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8
1902F2001_102,6000.0,45.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.6
1902F2001_103,6000.0,100.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2001_104,3809.0,24.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2
1902F2001_105,885.0,42.0,18.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.6
1902F2001_106,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2001_107,6000.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.4
1902F2001_108,6000.0,24.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.6
1902F2001_109,5085.0,65.0,17.0,48.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
1902F2001_110,5054.0,37.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.2
1902F2001_111,6000.0,17.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_001,6000.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_002,1373.0,60.0,7.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_003,488.0,32.0,33.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.6
1902F2002_004,510.0,19.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.4
1902F2002_005,2642.0,50.0,7.0,43.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_006,2135.0,22.0,5.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_007,1014.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_008,1068.0,23.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2002_009,1081.0,44.0,7.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2002_010,3155.0,13.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2002_011,2058.0,20.0,32.0,-12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2002_012,2067.0,24.0,36.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2002_013,6000.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1902F2002_014,1104.0,23.0,30.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0
1902F2002_015,1052.0,19.0,25.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2002_016,4072.0,14.0,15.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2002_017,1068.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_018,998.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.6
1902F2002_019,238.0,38.0,0.0,38.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4
1902F2002_020,6000.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_021,816.0,11.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_022,110.0,31.0,13.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_023,228.0,39.0,46.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2002_024,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_025,2059.0,48.0,21.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2002_026,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_027,1011.0,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2002_028,3489.0,22.0,24.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2002_029,1671.0,20.0,30.0,-10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6
1902F2002_030,3502.0,30.0,8.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.4
1902F2002_031,6000.0,11.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_032,8560.0,21.0,66.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_033,177.0,22.0,29.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2002_034,1206.0,37.0,0.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.4
1902F2002_035,1326.0,28.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_036,1442.0,29.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6
1902F2002_037,1703.0,22.0,47.0,-25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2002_038,494.0,17.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2002_039,236.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.4
1902F2002_040,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_041,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_042,1062.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2
1902F2002_043,517.0,14.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.8
1902F2002_044,1580.0,13.0,47.0,-34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
1902F2002_045,519.0,41.0,37.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_046,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.4
1902F2002_047,503.0,18.0,46.0,-28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2002_048,6000.0,19.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6
1902F2002_049,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_050,6000.0,25.0,0.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_051,1061.0,38.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2002_052,1058.0,33.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_053,1994.0,22.0,35.0,-13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2
1902F2002_054,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_055,2538.0,15.0,16.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_056,969.0,17.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2002_057,508.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2
1902F2002_058,1138.0,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2002_059,494.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.8
1902F2002_060,1275.0,33.0,14.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
1902F2002_061,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_062,1038.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8
1902F2002_063,238.0,35.0,9.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
1902F2002_064,6000.0,26.0,0.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,E
1902F2002_065,506.0,26.0,19.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,E
1902F2002_066,6000.0,1.0,9.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
1902F2002_067,465.0,11.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_068,841.0,42.0,8.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2002_069,502.0,22.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2002_070,239.0,25.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8
1902F2002_071,1829.0,21.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6
1902F2002_072,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_073,895.0,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.4
1902F2002_074,6000.0,8.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_075,2089.0,26.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0
1902F2002_076,209.0,13.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.2
1902F2002_077,888.0,20.0,7.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0
1902F2002_078,2978.0,20.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F2002_079,238.0,22.0,5.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8
1902F2002_080,968.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_081,6000.0,21.0,0.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F2002_082,1338.0,17.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.2
1902F2002_083,1814.0,20.0,55.0,-35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6
1902F2002_084,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_085,1272.0,32.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F2002_086,236.0,24.0,48.0,-24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.2
1902F2002_087,243.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.8
1902F2002_088,778.0,24.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.6
1902F2002_089,515.0,18.0,21.0,-3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.8
1902F2002_090,513.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.6
1902F2002_091,4170.0,22.0,38.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.8
1902F2002_092,226.0,18.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.8
1902F2002_093,6000.0,24.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F2002_094,4836.0,65.0,11.0,54.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F2002_095,1192.0,37.0,16.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
1902F2002_096,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.2
1902F2002_097,773.0,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.2
1902F2002_098,1479.0,36.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.8
1902F2002_099,6000.0,29.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2
1902F2002_100,6000.0,53.0,0.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.2
1902F2002_101,1059.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
1902F2002_102,6000.0,13.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1902F3001_001,542.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8
1902F3001_002,1397.0,60.0,23.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.8
1902F3001_003,917.0,32.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F3001_004,388.0,19.0,24.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.4
1902F3001_005,403.0,50.0,0.0,50.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.4
1902F3001_006,1318.0,22.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0
1902F3001_007,6000.0,22.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.2
1902F3001_008,484.0,23.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.4
1902F3001_009,931.0,44.0,26.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.6
1902F3001_010,920.0,20.0,24.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.2
1902F3001_011,2979.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.8
1902F3001_012,1335.0,24.0,41.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
1902F3001_013,6000.0,36.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.8
1902F3001_014,6000.0,23.0,0.0,23.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
1902F3001_015,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E
